YORUM,URUN_KALITESI,PAKETLEME/TESLIMAT,FIYAT/PERFORMANS,URUN_TASARIMI
o kadar güzel ki bayıldım 🥰 paketlenme iyiydi çok teşekkür ederim ☺️,1.0,1.0,0.0,1.0
sürekli kullandığım fav çantam oldu,1.0,0.0,0.0,1.0
çok küçük bir çanta dikkat edilmeli ölçülere,0.0,0.0,0.0,1.0
hediye aldım ancak bayıldımmmm kendımede alacağım muhakkak,1.0,0.0,0.0,1.0
abi fiyat performans ürünü cukka,0.0,0.0,1.0,0.0
tek kelime ile harika,1.0,0.0,0.0,0.0
i̇lk geldiğinde biraz hasarlıydı satıcı değişim yaptı ürün güzel,1.0,1.0,0.0,0.0
güzeldi kaliteli bir çanta,1.0,0.0,0.0,0.0
çok güzel ve kibar bir çanta.,1.0,0.0,0.0,1.0
çok güzel tam fp şık duruyor,1.0,0.0,1.0,1.0
beklediğimden çok daha güzel her dolapta olması gerek diye düşünüyorum,1.0,0.0,0.0,1.0
çantaya bayıldım! paketlemesi çok iyiydi çok zarif ve şık bir çantatavsiye ederim ❤❤❤,1.0,1.0,0.0,1.0
"ya ürün güzel hoş da neden 3 gün içinde 45 lira indirim yapıyorsunuz?demek ki kâr elde edebiliyorsunuz, aldıktan 3 gün sonra indirime girdi oyüzden 2 puan kırdım",1.0,0.0,1.0,0.0
harika bi çanta,1.0,0.0,0.0,1.0
çanta çok güzel ama not beni daha çok etkiledi teşekkürler rabia hanım ☺️,1.0,1.0,0.0,1.0
"çok kibar çok tatlııı… 🫶🏻 uzun zamandır almayı düşünüyordum, iyi kialmışım. özenli ve  hızlı kargo için teşekkür ederim. ayrıca içindekinota kalbimi bıraktımmmm.",1.0,1.0,0.0,0.0
çantaya bayıldımmm o kadar güzel dokusu rengi duruşu var ki anlatamamyumuşacık derisi var ve çok kaliteli duruyor satıcısına da ne sorduysamhızlıca cevap aldım çok ilgililer yardımcı oluyorlar mükemmel birişletme iyi ki varsınızzz artık tek çantacım sizsiniz 🥰🥰 hızlı veözenli kargo içinde ayrıca  teşekkür ediyorum 🙏🏼👏🏼,1.0,1.0,0.0,1.0
muadil ürün ben bayıldım. gayet kaliteli duruyor. sağlam bir çanta. alınmalı.,1.0,0.0,0.0,1.0
çok begendim,1.0,0.0,0.0,0.0
kaliteli durul efsane,1.0,0.0,0.0,0.0
nişanlıma aldım.sirin bisey begendik.teslimatta hızlıydı teşekkürler.,1.0,0.0,0.0,1.0
çok kibar ve güzel,1.0,0.0,0.0,1.0
minimal bir çanta istiyorsanız tam isyediğiniz ürün gayet kaliteliduruyor paketleme özenli hızlı kargo.içindeki muhteşem not günümü güzelleştirdi🥰,1.0,1.0,0.0,1.0
i̇c fermuari olsa daha iyi olurdu ama çok memnunum güzel bir yapısı var,1.0,0.0,0.0,1.0
güzel ürün fakat biraz küçük,1.0,0.0,0.0,1.0
tam bi fiyat performans ürünü. fotoğraftan da belli. deri olmayan biçanta için çok iyi duruyor.,1.0,0.0,1.0,1.0
çok beğendim uzun zamandır siyah çanta arıyordum baya güzel biraz küçükama olsun,1.0,0.0,0.0,1.0
severek kullanıyorum fiyatına göre güzel bir çanta,1.0,0.0,1.0,0.0
çok şık ve fiyatına göre uygun bi çanta severek kullanıyorum,1.0,0.0,1.0,1.0
beğendimm minik çok tatlııı,0.0,0.0,0.0,1.0
çanta güzel ve kaliteli duruyor!!,1.0,0.0,0.0,1.0
o kadar cool duruyor ki bayıldım çok kaliteli,1.0,0.0,0.0,1.0
hoş bir ürün bence,1.0,0.0,0.0,1.0
"bu fiyata sanki inditex bir markadan almışsınız gibi kaliteli, çok beğendim.",1.0,0.0,1.0,0.0
birebir aynısı ben indirimdeyken aldım çok güzel içi yumuşak ama dışdokusu sert kırılma vs yapmıyor çok kullanışlı ben çok sevdim renklerinialmayı düşünüyorum 😻,1.0,0.0,1.0,1.0
anneme hediye almıştım çok kullanışlı,1.0,0.0,0.0,0.0
kesinlikle alınması gereken bir ürün ..,1.0,0.0,0.0,0.0
çok beğendim çok zarif,1.0,0.0,0.0,1.0
sevgilime aldım çok beğendi,0.0,0.0,0.0,1.0
bayıldım cok kibar ve kaliteli duruyor,1.0,0.0,0.0,1.0
hediye olarak aldım beğendik beyazını da aldım,1.0,0.0,0.0,1.0
çok hızlı eşime ulaştı. paketleme güzeldi. göründüğünden daha güzel.şık. hele nota bayıldım ❤️,1.0,1.0,0.0,1.0
sürekli elim bu çantaya gidiyor aşırı kullanışlı bayılarak kullanıyorjm,1.0,0.0,0.0,1.0
çok kullanışlı çok kibar bir çanta,1.0,0.0,0.0,1.0
çok kaliteli harika,1.0,0.0,0.0,0.0
fiyat performans bir ürün,1.0,0.0,1.0,0.0
fotoğrafta göründüğü gibi çok zarif duruyor,0.0,0.0,0.0,1.0
güzel ablama aldım,0.0,0.0,0.0,0.0
beğendim tesekkurler içindeki not çok mutlu etti emeğinize saglik,1.0,1.0,0.0,0.0
güzel bir urun,1.0,0.0,0.0,1.0
fena değil derisi iyi görünüyor,1.0,0.0,0.0,0.0
fiyat performans ürünü,1.0,0.0,1.0,0.0
"hediye olarak aldım, çok şık ve günlük kullanıma uygun. kendime dealacağım :)",1.0,0.0,0.0,1.0
gayet güzel,1.0,0.0,0.0,0.0
royal hissetmek isteyenlerin mutlaka alması gereken bir ürün paketlemegüzeldi ve çikolata sürpriziniz için teşekkür ederim 🤩,1.0,1.0,0.0,0.0
çok güzel,1.0,0.0,0.0,0.0
kaliteli göründüğü gibi severek kullanıyorum,1.0,0.0,0.0,0.0
aldığım en iyi çantalardan birisi.,1.0,0.0,0.0,0.0
beklediğim gibi geldi sadece bi tık kğçük cüzdan ve telefonum içine anca sığdı,0.0,0.0,0.0,1.0
çok iyi ağır duruyor. 👏👏,1.0,0.0,0.0,1.0
arkadaşıma hediye aldım çok güzel,1.0,0.0,0.0,1.0
best çantam 🫶🏽,1.0,0.0,0.0,1.0
ürün gerçekten çok kaliteli. birebir muadil diyebilirim. bu fiyatapiyasasa canta yok denilebilir. f/p ürünü gerçekten kapin hemen💘,1.0,0.0,1.0,0.0
kullniyrum çok seviyrum,1.0,0.0,0.0,0.0
çok şık bir ürün. severek kullanıyorum.,1.0,0.0,0.0,1.0
çok şık ve kaliteli duruyor derisine bayıldım.sadece bir tık küçük geldibana .,1.0,0.0,0.0,1.0
aşırı güzelll bir çanta  çok kaliteli bir derisi var,1.0,0.0,0.0,1.0
ürün çok güzel,1.0,0.0,0.0,1.0
arkadaşıma hediye aldım çok beğendi. hızlı teslim edildi.,1.0,0.0,0.0,0.0
